signal_0,signal_1,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52,noise_53,noise_54,noise_55,noise_56,noise_57,noise_58,noise_59,noise_60,noise_61,noise_62,noise_63,noise_64,noise_65,noise_66,noise_67,noise_68,noise_69,noise_70,noise_71,noise_72,noise_73,noise_74,noise_75,noise_76,noise_77,noise_78,noise_79,noise_80,noise_81,noise_82,noise_83,noise_84,noise_85,noise_86,noise_87,noise_88,noise_89,noise_90,noise_91,noise_92,noise_93,noise_94,noise_95,noise_96,noise_97,noise_98,noise_99,noise_100,noise_101,noise_102,noise_103,noise_104,noise_105,noise_106,noise_107,noise_108,noise_109,noise_110,noise_111,noise_112,noise_113,noise_114,noise_115,noise_116,noise_117,noise_118,noise_119,noise_120,noise_121,noise_122,noise_123,noise_124,noise_125,noise_126,noise_127,noise_128,noise_129,noise_130,noise_131,noise_132,noise_133,noise_134,noise_135,noise_136,noise_137,noise_138,noise_139,noise_140,noise_141,noise_142,noise_143,noise_144,noise_145,noise_146,noise_147,Target
0.086589787,-0.155677235,1.321610837,2.144171498,0.069986629,2.417722057,-0.554507549,-0.282802036,0.673087594,-0.81699073,0.660212319,-0.51849468,-1.54412558,-1.742503022,-0.323790324,0.417611696,-1.361189745,0.178591422,0.18142172,-0.167642066,-0.926246982,0.240236924,-0.142335838,0.981743341,-1.29280652,0.113964933,-1.271843083,-0.23707399,-1.095079988,-0.917279233,-0.003846149,-0.5656263,1.466694834,1.179164796,0.804752278,0.784955461,0.130263904,1.304796027,-0.294042784,2.119371936,-0.942191486,-1.128825593,-1.394974168,-1.220866639,-1.629355832,0.214096525,0.853821886,0.034137411,-1.385290909,-0.469679483,0.84148595,-0.341928778,-0.798381363,-1.51378433,-0.42274374,-0.702562621,-0.086373155,0.476379403,-0.282471312,0.184807196,0.47200515,-1.229808951,1.886041297,-0.741427608,0.51655625,-1.135984267,0.110142614,0.146731955,1.659099315,-0.232619005,1.299469549,0.290458269,1.852107018,-1.7800993,0.482169182,-2.672894813,-0.05806947,1.02099247,1.445616879,0.738624554,-0.29056221,0.545128838,2.516375856,0.075378691,0.961036436,-0.42935229,1.070427804,0.906055958,-0.610513667,0.777306122,0.824783892,0.739942716,-0.041145942,1.229092258,-0.934925306,0.009748047,0.111402509,1.171372942,-0.966475227,0.241095143,-0.492333044,0.109452668,0.392293351,-1.278426341,1.26406046,0.427831343,-0.858596019,-0.341179203,1.494196473,0.415850936,-0.964879744,-0.783505094,0.624791982,0.744795441,0.362865436,-0.29146323,0.809683521,-0.311890948,-0.854691392,1.58661456,0.488796144,-0.784790912,0.134255237,0.027294443,-0.349917493,0.233549877,-0.928527661,0.873640133,-0.006161173,-1.609454323,-0.228152206,-0.615866478,-2.990406305,-0.155814214,1.036777845,-0.107814987,0.708144055,0.008495017,-0.456370791,-0.731601479,-1.282794754,0.925765426,0.730748709,-0.27829169,-2.024265413,0.472083953,-0.90477708,0.143882373,-1.541246922,0.091998985,1
0.473237625,-0.072828913,1.796753465,0.439485828,0.166793665,1.985226536,-2.335953619,-0.815311115,-0.401173172,0.858351233,0.875656363,-0.866006709,0.997954322,-0.403314767,1.211639626,-1.032642698,-0.123311599,-0.490167315,1.056030372,-0.522781217,-0.042448529,0.506811398,0.545258483,0.886952607,0.211124777,-0.418248915,-0.349698745,0.025672315,0.249592476,-0.147171648,0.019203421,-1.517253861,0.667355284,0.181112289,1.001870414,0.000160507,-1.738397579,-0.358446189,-0.199929923,0.742903305,-2.070273545,0.041179517,0.513675216,-0.661487885,0.07462801,-0.627036509,-0.729572933,-0.40841985,-0.710691992,0.683618312,-0.734951877,-0.902910007,1.767928667,0.960740012,-1.861513361,-0.76476829,0.242462972,0.323755067,-1.490492866,1.158565493,0.825224419,0.481901632,1.356728491,0.452289993,0.448580879,1.557679272,1.101219581,-0.841507459,0.633195179,-0.664267865,0.504154551,0.476613507,-1.383467312,-0.121845611,0.265257024,-0.436290191,0.314709942,0.805897777,-0.030593064,0.224599477,1.383424079,0.473196583,0.20082429,-0.95807938,0.671026011,0.330149949,1.283739434,0.046878543,-1.8162665,-1.700120869,0.735680764,-0.570193598,0.436767751,0.114232645,-0.166839668,-0.096361286,-0.865389505,-0.015777689,-0.584493433,-0.37225652,-0.323649045,-0.22669327,0.922173457,-0.129790829,1.023702337,1.537854951,0.854944651,0.534468535,0.326832209,0.865358709,0.089360739,0.984569846,0.614105805,-0.359840461,0.89585088,0.091480006,-0.106132008,-0.47619916,0.166018848,0.996462615,0.888940006,0.353393797,0.599643641,1.271696792,-0.149966291,-1.115420004,1.301129852,-0.529778252,-0.690338123,-1.796197755,0.571283053,-1.621452625,-0.750258808,0.588236795,0.721921252,-0.651704148,-0.134153327,-0.872594526,-0.548396788,0.26621526,-0.501646679,-0.24421504,-1.464706682,1.132956165,0.510066593,0.792905372,1.290425325,-0.825212876,-0.358394483,-1.894834368,1
0.241962272,-1.913280245,-0.473839347,-0.014452271,0.546284248,0.00642227,-0.436385891,-0.109609804,-0.088362959,-0.37001103,-0.258796063,1.598647171,0.560919448,-0.295480318,0.696954405,-0.33381949,1.173124638,0.369642192,-0.107302144,0.447716926,-1.570876152,-1.126767469,-1.193925006,0.142943095,1.732514999,2.231300146,0.638051101,0.500844475,-1.801057734,-0.5426738,-0.787783752,-0.620847598,-0.168143819,-0.472090578,-1.97929981,0.747910256,-1.072743026,0.239246864,2.07408267,-0.919384592,-2.530287523,-0.286004222,1.100959635,1.958347454,-1.229549594,0.496699223,-0.465310457,-0.105948354,2.644343347,-1.502970328,0.253739661,0.467693172,1.085786325,0.097983153,0.30805054,-0.391648567,0.269126941,-0.343192275,0.62157189,-0.369610336,0.377100394,-0.029262814,1.126050251,-0.051393724,-1.773032468,1.261921501,-0.905732301,-0.653766339,-0.595661294,1.374438093,-2.135674214,3.137748534,1.056056809,0.223238914,-0.054894001,0.285554075,0.521122428,0.645215586,0.555604466,0.089580681,-0.19733842,-0.151273284,-0.19490828,1.133770097,0.593556722,-2.940388635,0.655900777,0.194736195,-0.018708756,-0.388518453,1.12411272,0.947526462,-0.772877668,0.407052287,-0.971656735,-1.379618165,-0.626717225,0.862393472,0.953125045,0.51308542,0.725095787,0.516178287,-0.641481595,0.431922545,0.800409525,0.75429133,1.188913371,0.708303847,0.351448208,1.070150238,-0.026521259,-0.881874651,-0.163066964,-0.744902645,-0.675178275,-0.144518671,-0.792419921,-0.30796153,-1.893614667,0.213293707,0.001205475,-0.817088631,0.659245668,0.937570138,-1.607559864,-0.762724779,-0.76914235,-0.939903101,0.829474842,-0.193826139,-0.264514841,-2.003862364,0.63541803,-1.239258395,0.05993263,0.277376938,1.360658596,-1.308820399,-3.019512156,0.183849545,1.800511182,1.238946353,0.209659415,-0.491636186,0.807122597,-0.9735462,0.476357769,0.505470159,1.060209907,2.759660039,1
0.975119733,-0.147057382,2.310459275,-1.140161139,-0.59083531,1.310144388,0.415149633,-0.469923,-1.231366926,-0.966690109,-0.906496119,0.007031798,0.191061817,-0.148654629,-0.039213814,-1.050723195,0.293136106,1.280518637,-0.162791682,-0.182286706,0.083001052,1.11820486,-0.894722999,1.450847336,0.421222239,0.028680696,1.213238837,-1.182062074,0.522045536,0.430309565,-0.935455064,0.460638123,0.283305179,-0.17873812,0.862817555,-0.571754252,0.270321246,-0.131673782,-0.614696823,0.502884685,-0.207735747,-1.473006459,-1.801066105,0.789057468,-1.220600107,0.279384493,0.054951894,-0.368531777,1.956668457,0.179674018,0.755633483,0.284816215,-0.231539423,-0.01908875,1.458542766,1.088105293,1.951986432,0.221642093,-0.876937066,-0.440516944,-1.187778192,0.767044129,-0.585916316,-3.055317946,2.463775698,-0.570601138,-0.576590925,1.671611693,-1.208251451,1.136605887,-0.587442443,-1.323795445,1.705717761,0.923096947,0.920000985,0.367655547,0.599101633,-1.232158025,0.111610857,-0.928763,-1.388940519,0.410953331,1.158149556,-0.383368824,-0.212012892,-1.138150645,0.007217146,0.760076112,0.791527737,0.545176176,-0.618431167,-0.650129043,0.795404473,0.811998932,-0.171994985,-0.426171908,1.167247093,-0.359948665,0.745932225,-0.136843175,-1.047532781,1.61231214,0.120063896,-0.71074398,-1.390805668,-1.290000798,-0.372911404,1.925128884,-0.584661879,1.447454832,-0.130763669,-1.181150391,-0.473211188,-1.280987924,-0.855968452,-0.885748062,-1.903803867,1.512796069,0.21101703,-0.686278406,0.221757746,-0.835480394,-2.671061965,2.956691633,0.189599877,-0.589013039,-1.933914812,-1.494149795,1.65449193,1.501938549,0.753215036,-1.115077038,1.509973988,0.449782618,0.654924448,0.446170944,-1.506987185,-1.198160951,-0.510218166,0.643639708,-1.380432082,-0.175346415,-0.17660951,0.792739689,0.674671536,-1.010225929,1.446686169,-1.163239829,1.092239442,-0.550144898,1
0.625667348,-0.857157556,-1.11939088,-0.473183106,1.7632988,-0.257316501,-2.81512369,-0.202968343,0.13493953,-2.617113117,1.33393564,-0.713712464,0.328563115,-0.225981545,-1.288351419,-1.070508135,-0.935082836,1.085671909,-0.147538188,-0.521865517,-0.934608913,1.196150222,1.464201273,1.184743899,0.492437339,0.289830042,-1.215937818,-0.245819127,-0.683860203,-1.825512109,1.057043419,-0.695829946,1.195941907,0.881746401,0.556717977,0.612884072,-0.615313882,1.857850151,0.043125431,0.301931685,-0.649076334,-0.931165261,0.477296009,0.217513496,-0.789352366,-1.438426719,-1.269923087,1.196133717,-0.613253815,-0.338908546,1.450340259,-1.122150561,-0.726994826,-0.768766829,1.618068481,1.993383501,0.751563225,0.783384724,-0.580355003,1.947328487,0.267696254,0.853110264,-0.105524939,-0.268032587,1.66304226,0.53972368,1.451375461,0.255328172,-0.848366536,-0.583342933,0.102965242,-0.626500216,-1.107461409,1.201417032,-0.544870071,0.138192748,0.29613359,-0.588153125,1.450799466,-1.117141761,0.261625264,0.246117706,-0.054254603,-1.296912613,0.870817552,0.74351067,-0.675568529,0.707487207,0.374907686,-1.280612145,-0.853928915,1.138281445,0.309416185,-0.564302946,-0.858475891,-0.515393798,-0.44447953,-0.845963033,-1.741764112,1.140013286,0.970633673,-1.273255452,0.136311296,-0.902238203,-0.261567223,-0.34476658,-0.427834216,2.002947084,-0.440325685,-0.808263825,-0.762581429,1.043776956,-1.652102332,-0.762622916,1.44682284,0.243986188,0.191922005,2.13214646,0.246347953,-0.708186161,-0.282077057,-1.135432309,1.25593704,0.574561718,1.12441415,1.212983929,-0.414210781,-0.944752852,-0.051713111,-0.872761071,0.164956875,1.132096881,-0.168139646,0.14999509,-0.093845616,0.802727572,-0.667782394,-2.196446262,0.470868859,0.987834421,0.446374245,-0.640230495,-1.135012098,0.494497532,0.141478953,-0.125792628,1.822463343,-0.946800094,1.775037021,0.031783905,1
-1.150993577,0.375698018,0.091752484,0.252240396,-0.116229043,0.214713183,1.578118058,0.985449686,0.869154592,-0.455539526,-0.889240828,0.955300558,0.876046793,1.472670676,-0.603980626,-0.229548655,-1.639484163,-0.392471106,0.996570511,-0.466495379,0.640479795,-0.190503106,0.324057028,-1.14769139,0.08520945,-2.991135971,-0.186896158,-1.630473244,1.205994517,0.777407353,0.466670982,1.521006227,-0.948916521,1.747363198,0.932191564,-0.236555287,1.135620147,-1.106293512,-0.824514162,-0.608589723,-0.528977708,-1.056557643,1.223083067,-0.2588544,0.352504968,-0.570351366,-1.820603301,0.270057358,-1.912254975,-0.068634046,-1.368315039,1.987275999,0.911362722,0.105753791,1.263706678,-0.846315977,0.543479379,0.199810434,0.264020081,1.2723535,0.732492103,0.288723663,-1.654887436,-0.960046295,-0.122708934,0.093372374,-1.130203725,2.411676676,1.516394055,0.60211832,0.072036861,-0.21220897,-0.95191846,0.077480519,0.25775254,-1.241760575,0.334176417,-0.155259049,-1.907807558,-0.860385011,-0.413605533,1.887687657,0.556553125,-1.335481569,0.486036289,-1.547303989,1.082691054,-0.471124652,-0.093636189,1.325796648,-1.287163569,-1.397118185,-0.583599326,1.038378851,-1.519346075,-2.832155598,-0.451158858,0.5517408,1.20026175,-0.463161362,-0.411426607,1.153900734,-1.8697417,-0.388520775,0.19042389,0.449218721,-0.509806693,0.034441012,-2.488327353,-0.658248412,0.453508713,-0.982294034,0.058984222,0.446872501,-0.342549201,0.170463771,-0.962732565,-0.20661128,0.61021617,0.156972961,-0.58653127,0.224216404,0.714609791,-2.049941279,1.159074065,-0.336254739,0.425489933,1.197246924,-1.371673697,-0.709441002,-0.288548696,-0.783753521,1.734936576,-0.856772094,-0.555546779,0.204389032,-1.202149526,-0.395680712,0.317453261,-0.332860404,-0.093386859,-0.529332112,-1.514470309,0.321593211,1.754933072,0.018401631,0.225264117,0.692722755,-1.269330497,1.702514658,0
0.170865438,-0.183983336,0.378485168,-1.140912653,0.546831241,-0.457243392,2.02123838,-0.380034464,2.226179284,-0.161196682,-0.094900333,-0.294311313,-1.258116893,1.326346868,0.09709622,0.627090703,1.615089852,-0.131130845,-0.092749256,0.144909792,-1.28287075,-1.828827445,-1.503690582,1.241258527,-0.325965975,0.784377859,-0.258529469,-1.577659426,0.866060639,-0.888978331,0.57987127,0.92350368,-0.04430648,0.474084475,-1.423113821,2.925024115,0.440127997,0.781226175,0.934251226,-0.139176086,0.077742837,1.084959568,-0.367728527,0.391135228,0.467780457,-0.734511192,0.443793889,-1.694322701,0.917962414,1.569871193,0.905736144,1.497293861,-0.762199093,-0.224974966,0.125428089,0.128812728,-0.437296837,-0.913149864,1.726966638,-0.833064063,1.656389678,0.495094507,0.203017067,0.542987251,1.52344393,-2.624461062,0.359139376,0.149005235,0.185942639,0.940503949,-0.610395623,-1.150890973,-1.38425014,-0.907350235,0.687439506,0.504847982,0.883330305,-0.459800296,-0.415364595,1.653722441,1.019782486,0.752188122,-1.82475456,1.957697679,-0.091943763,0.172902792,0.447567262,0.164530226,-0.171975413,0.145033864,0.636483703,0.848799523,1.219778865,-1.097551871,-0.545917779,0.852954543,-1.570206567,0.161590482,-0.785955565,0.551176168,-0.845078356,-0.359578233,-0.290424363,0.246346009,0.958321975,1.031949345,0.204942451,-1.109654882,2.579613135,-0.08518267,0.273711213,0.242263621,0.353818961,-0.847060304,0.438572806,1.821501696,-2.00919278,0.032313098,-1.121566131,0.988874789,1.141134575,-0.127652097,0.060889925,-0.880953522,-2.357766087,-0.270198203,-0.213707083,0.043030402,-3.278558903,-1.725358108,-1.483083032,0.083098789,0.585266868,-1.16257545,-0.275863325,-0.578897495,2.032004852,-0.38480565,-0.427033098,-0.815996885,-1.900977871,0.646482681,-0.26643377,-0.388371522,0.182365885,-1.577820339,1.770570782,-1.820608115,1.776349482,-0.014927033,1
-0.10703036,-1.035242322,-0.873336054,0.3423849,-0.131603638,2.030881555,-0.280653927,0.248691478,0.22686832,-0.10039877,0.755473768,0.0933964,0.481851738,0.213602705,-0.604537726,-0.26896206,0.555422853,0.551360302,1.245009049,1.859244148,-0.521068877,0.134874158,-0.19340581,-1.107307637,0.564555139,0.777837164,-1.076991226,-0.374499339,-0.472089522,-1.508424703,-0.03637733,-1.145241676,0.158993691,0.269121525,0.393022783,0.441322178,1.530940717,-0.808646141,-0.758481816,0.655163897,-0.131981525,1.125326607,0.561688792,1.918111328,-0.09132845,-1.482039572,0.34066142,-0.071674158,0.534487487,0.662607187,-0.534548515,-1.009005659,-0.14594335,-2.381191536,0.080667259,-0.407438075,0.861675044,-1.985848534,0.00634531,1.576224285,0.675401328,0.980671996,0.339733523,-1.66153407,0.166529173,0.40848936,-1.078224544,-0.126553843,-2.901070629,-0.334098176,-0.436375943,1.402239356,-0.603223103,-0.266357059,-0.079228777,-0.590320024,0.719791422,-1.992392014,1.136576704,-0.011878118,1.301647135,-2.747232142,-2.436229321,-0.29197856,0.505915388,-0.554932716,0.58384583,0.981309757,0.665999547,0.103268504,0.09560285,-0.614795086,-0.055374324,-1.024230887,-0.784729467,0.5143642,-0.462881132,-0.737561894,0.449231013,0.379899657,-0.215299585,-0.148935431,0.41594789,0.968957116,0.201085659,-1.19203391,-0.221427493,-0.407149838,-1.052986106,0.497932766,0.574852579,0.726208422,-0.990912954,0.157450937,-0.006275233,0.307403093,0.129726491,-0.012545945,-0.132723759,1.10684061,-0.861814008,-0.173170871,1.081370667,-0.811055924,-0.760087928,0.733940944,-1.423913841,0.660631123,-0.489634579,0.410000616,-1.220734567,1.185076267,-1.21723865,0.724950354,-1.175462384,1.808300871,-0.071381782,1.950857095,-0.818887487,-0.442650696,1.210719204,-1.426196022,-0.699266656,0.49506843,-1.018780577,0.521817422,0.170404385,-1.513645624,0.967768788,-1.262433093,1
-0.759132662,0.150393786,0.128044243,0.046940116,0.316916987,0.741373892,0.451703953,-1.116439532,0.294041087,0.853823575,-0.724001723,0.299956469,-0.552780717,1.996169721,-1.326827139,1.155948937,-1.670812761,1.793052685,-1.141549067,0.189671544,-1.629193187,-1.349981117,0.897747048,1.028162311,0.239358932,0.741081665,1.044878743,-0.684176864,-1.398961434,-0.013703386,-0.577201186,0.38862148,0.548028612,-0.681650791,0.704108543,0.654138376,0.723317579,-0.407792377,0.779922165,0.520002281,0.640184645,1.677788563,0.32777419,-0.606962224,-1.110454531,1.12793616,0.357307676,1.670021988,-2.029552191,0.910667088,-0.261137335,-0.353520995,-0.76480784,0.899571014,0.613536177,-1.142382025,0.164921438,0.706114331,0.178010526,1.1078403,-0.290038544,-2.254357673,0.186717561,0.180625769,0.311186497,1.106979098,-1.952463253,-0.238483304,-0.922657808,-1.208030388,-0.072299,0.70182203,0.300946605,-0.687522422,-0.1454716,0.929896445,0.683129245,-0.552770013,-0.617496376,-1.716484161,-0.429411334,-1.73578893,2.067069687,-0.855118157,1.108980855,1.818106208,0.216201409,-0.100014256,-1.322365256,-0.504600122,1.603965048,0.35125263,0.028348207,1.312123209,0.696290548,-0.147873148,0.216255836,-0.768065037,-0.561040646,-0.206298629,0.557471062,-1.247362973,0.07624033,-0.38986216,-0.900929218,-0.384491549,-2.321403263,-0.757588674,-1.099486882,-0.279916043,-2.279789823,0.190892744,0.909423296,-0.117296372,0.498791873,-0.512730556,-1.554621124,0.001691321,0.680378377,-1.324388126,-0.465227276,-0.247116401,2.851407645,0.223371195,-1.905573579,-2.152850902,0.73049883,2.485031976,-0.280974485,-0.340819592,0.430774176,-0.798296408,-2.54415462,1.037264389,-0.613182128,1.050117866,-0.76098679,0.121779127,0.854831947,1.070350951,0.232988667,0.183239096,0.61970618,0.464169534,-1.291180534,-1.272082354,-2.109059103,0.766508001,-0.395729774,0.820197245,0
-0.089735694,1.440117215,-0.898992322,-0.601864365,0.840368707,0.269648666,-0.642449903,-0.207420841,0.329450632,0.024808263,-0.238169483,-0.054792483,-2.415527646,0.018207222,-1.058283893,0.363475679,0.133961769,0.748406316,0.758186063,1.719646381,-1.983133992,-0.126058161,-2.040474873,0.490696583,-0.167030216,-0.470761082,0.267018498,-1.052855378,1.847848222,-0.244416583,0.07653327,-0.128526037,0.922409851,-1.202204645,0.828208741,-0.518564666,-0.509833312,0.879392973,-0.268202715,0.613781821,0.632453723,-0.349135944,0.232939913,-0.483895928,-0.019565674,0.473685448,-0.95675372,0.440293224,0.31766332,-1.488999516,-0.746077561,-0.691481252,-0.444388329,-0.955891167,0.939159562,1.060535899,-0.787877278,-1.154170008,-0.013338915,1.330188637,2.154199882,-0.674578999,-2.274959745,-1.487481294,-1.782458829,0.416839552,0.097527813,0.217190525,1.125930458,1.628938901,0.842955802,0.735193292,-1.47405828,-0.508594369,1.384821591,-0.549660338,1.105554367,0.123380766,0.783185933,-0.871839351,0.763133934,-0.639477481,0.230545509,-0.02909744,1.192038103,0.832072628,-1.765710603,-0.810400137,-0.635892302,0.69173946,-0.49536086,-1.089365218,-1.364647364,0.727353589,-2.073535131,1.05513713,-1.286911894,-0.447717709,-1.16850357,-0.919156575,-0.223416204,-0.136729603,-1.54634558,-0.405369736,0.103233451,0.467951805,-2.042418465,-0.478839375,-2.053617922,-0.508234731,-0.430462799,0.629142563,0.973425463,-1.02179021,0.294262372,0.655010884,-0.747049199,0.773005489,0.135967375,-0.2734564,0.141762231,-1.580201784,0.140463925,-0.845803366,0.028828205,-0.405819759,0.288392213,1.19186937,0.127138922,1.000452383,-1.02292145,1.433679868,-1.012731126,-1.253438364,-0.274830103,-0.444459878,-1.581993085,-1.127844064,-3.59425754,-1.351219942,-0.659840275,1.489847626,0.71304004,0.323499972,2.165287662,-1.792419164,-0.067699636,2.035442368,-0.507343107,-0.827779915,2
