feature_1,feature_2,label
0.425474743,5.63452094,Trung bình
3.734822129,-1.318853872,Trung bình
-3.009940733,0.289127305,Yếu
1.979577547,2.607236881,Giỏi
-4.507458034,-1.524837276,Trung bình
3.019673609,0.770602492,Yếu
-8.052616165,-2.90524131,Yếu
-0.286323984,-5.656080912,Trung bình
0.275172684,0.579485067,Trung bình
3.059669525,-0.946112593,Yếu
0.245734301,1.351141846,Trung bình
3.025857503,-1.242179801,Trung bình
-1.73367432,-2.351973885,Giỏi
2.920199359,5.403029929,Trung bình
4.69672695,0.574853654,Trung bình
-1.073771796,0.769468019,Trung bình
-1.519416025,1.627678846,Trung bình
2.234686314,3.954266063,Trung bình
-4.377380468,-2.955570996,Trung bình
2.052818527,-0.788886506,Trung bình
-2.384060591,-0.008779717,Trung bình
-0.327726616,-1.116819156,Trung bình
3.4834947,2.847092109,Trung bình
4.903393414,-0.976647114,Trung bình
-5.38597916,-5.353709002,Trung bình
0.010471852,8.61083918,Trung bình
-2.2145833,3.541957719,Trung bình
1.254019638,-0.659083992,Trung bình
7.621769043,5.953491954,Trung bình
-2.825793269,2.989155443,Trung bình
3.96738827,4.028732605,Trung bình
5.511598499,-5.21981815,Trung bình
-3.976680711,3.208218283,Trung bình
-2.809695087,5.125784456,Trung bình
2.963824503,-5.475714139,Trung bình
3.316404138,-2.451820454,Trung bình
-4.17172314,-2.090121714,Trung bình
2.565825153,4.517420195,Trung bình
-1.465767235,-0.400521675,Yếu
-4.270686925,-2.345737683,Yếu
-3.883065622,0.260300045,Trung bình
6.524108233,0.14536958,Trung bình
-5.962205395,-1.502757798,Trung bình
-5.590400771,10.940247491,Trung bình
6.63373949,-6.387480564,Trung bình
1.075502584,0.635658677,Trung bình
0.868767909,-1.22844727,Yếu
-5.769374467,-4.483256151,Trung bình
3.929311095,-2.709204456,Trung bình
-2.252136238,-1.472280636,Yếu
-3.684990637,-5.191361331,Trung bình
3.633066826,1.565130955,Giỏi
-4.408735149,-2.272916514,Trung bình
5.312559722,1.882712258,Giỏi
-0.194983035,-9.084170199,Yếu
-3.827026079,1.111635678,Trung bình
1.921632225,3.176105915,Trung bình
9.22343817,0.589082206,Trung bình
-4.291213226,1.717071359,Trung bình
4.318221039,5.145466393,Trung bình
-0.745198844,-5.635496027,Trung bình
10.093954602,-6.200496225,Yếu
1.262809707,-1.015882418,Trung bình
-1.76309846,6.052942334,Trung bình
0.742679528,1.350600352,Trung bình
-2.425378403,-3.533386449,Trung bình
3.125026532,0.007970692,Trung bình
-3.784272276,-1.037652101,Trung bình
-6.996887809,-4.113418752,Trung bình
4.546636068,2.529021854,Trung bình
-8.571134031,-7.244194481,Trung bình
1.418578556,-2.562331515,Trung bình
-0.464129505,1.227953485,Trung bình
-4.243059863,-1.03766158,Trung bình
-0.26699094,2.847349953,Trung bình
0.677399909,-1.296450898,Trung bình
-5.423074859,1.016831274,Trung bình
1.539561678,-3.988915123,Trung bình
0.334004461,2.659333563,Trung bình
